rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.01,0.25,22,0.15,3,41,46.34,2.102,0.086,0.077,1.05,4.03,40.42,21.49,9.82,65.85,0.0722,1.294,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body025_adx22_spr015_slp3.csv,APROBADO,246.68
1.5,0.8,24,0.02,0.25,22,0.15,3,41,46.34,2.102,0.086,0.077,1.05,4.03,40.42,21.49,9.82,65.85,0.0722,1.294,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body025_adx22_spr015_slp3.csv,APROBADO,246.68
1.5,0.8,24,0.01,0.25,22,0.2,3,40,47.5,2.102,0.085,0.073,1.05,4.03,40.42,21.49,10.06,67.5,0.0722,1.294,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body025_adx22_spr02_slp3.csv,APROBADO,246.66
1.5,0.8,24,0.02,0.25,22,0.2,3,40,47.5,2.102,0.085,0.073,1.05,4.03,40.42,21.49,10.06,67.5,0.0722,1.294,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body025_adx22_spr02_slp3.csv,APROBADO,246.66
1.5,0.7,24,0.01,0.25,22,0.15,3,41,43.9,2.098,0.086,0.077,1.05,4.01,42.58,21.49,9.79,63.41,0.074,1.288,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body025_adx22_spr015_slp3.csv,RECHAZADO,246.16
1.5,0.7,24,0.02,0.25,22,0.15,3,41,43.9,2.098,0.086,0.077,1.05,4.01,42.58,21.49,9.79,63.41,0.074,1.288,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body025_adx22_spr015_slp3.csv,RECHAZADO,246.16
1.5,0.7,24,0.01,0.25,22,0.2,3,40,45.0,2.098,0.084,0.073,1.05,4.01,42.58,21.49,10.03,65.0,0.074,1.288,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body025_adx22_spr02_slp3.csv,APROBADO,246.14
1.5,0.7,24,0.02,0.25,22,0.2,3,40,45.0,2.098,0.084,0.073,1.05,4.01,42.58,21.49,10.03,65.0,0.074,1.288,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body025_adx22_spr02_slp3.csv,APROBADO,246.14
1.6,0.8,24,0.01,0.15,22,0.15,3,42,45.24,2.094,0.062,0.049,1.05,3.98,40.07,21.39,9.47,69.05,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body015_adx22_spr015_slp3.csv,APROBADO,245.53
1.6,0.8,24,0.01,0.2,22,0.15,3,42,45.24,2.094,0.062,0.049,1.05,3.98,40.07,21.39,9.47,69.05,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body02_adx22_spr015_slp3.csv,APROBADO,245.53
1.6,0.8,24,0.02,0.15,22,0.15,3,42,45.24,2.094,0.062,0.049,1.05,3.98,40.07,21.39,9.47,69.05,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf002_body015_adx22_spr015_slp3.csv,APROBADO,245.53
1.6,0.8,24,0.02,0.2,22,0.15,3,42,45.24,2.094,0.062,0.049,1.05,3.98,40.07,21.39,9.47,69.05,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf002_body02_adx22_spr015_slp3.csv,APROBADO,245.53
1.6,0.8,24,0.01,0.15,22,0.2,3,41,46.34,2.094,0.061,0.046,1.05,3.98,40.07,21.39,9.7,70.73,0.1536,1.642,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body015_adx22_spr02_slp3.csv,APROBADO,245.49
1.6,0.8,24,0.01,0.2,22,0.2,3,41,46.34,2.094,0.061,0.046,1.05,3.98,40.07,21.39,9.7,70.73,0.1536,1.642,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body02_adx22_spr02_slp3.csv,APROBADO,245.49
1.6,0.8,24,0.02,0.15,22,0.2,3,41,46.34,2.094,0.061,0.046,1.05,3.98,40.07,21.39,9.7,70.73,0.1536,1.642,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf002_body015_adx22_spr02_slp3.csv,APROBADO,245.49
1.6,0.8,24,0.02,0.2,22,0.2,3,41,46.34,2.094,0.061,0.046,1.05,3.98,40.07,21.39,9.7,70.73,0.1536,1.642,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf002_body02_adx22_spr02_slp3.csv,APROBADO,245.49
1.6,0.8,24,0.01,0.15,22,0.25,3,40,47.5,2.094,0.061,0.047,1.05,3.98,40.07,21.39,9.94,72.5,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body015_adx22_spr025_slp3.csv,APROBADO,245.47
1.6,0.8,24,0.01,0.2,22,0.25,3,40,47.5,2.094,0.061,0.047,1.05,3.98,40.07,21.39,9.94,72.5,0.1536,1.87,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr16_be08_h24_buf001_body02_adx22_spr025_slp3.csv,APROBADO,245.47
