rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.4,0.8,24,0.02,0.3,20,0.15,2,47,46.81,1.89,0.089,0.083,1.21,3.93,37.96,22.09,8.37,68.09,0.1055,1.186,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,222.88
1.4,0.8,24,0.02,0.3,20,0.2,2,46,47.83,1.89,0.088,0.079,1.21,3.93,37.96,22.09,8.55,69.57,0.1055,1.186,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,222.74
1.4,1.2,24,0.02,0.25,24,0.2,2,38,52.63,1.909,0.074,0.062,1.21,3.7,38.88,22.64,9.74,73.68,0.1045,1.246,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,222.33
1.4,1.2,24,0.02,0.3,24,0.2,2,38,52.63,1.909,0.074,0.062,1.21,3.7,38.88,22.64,9.74,73.68,0.1045,1.246,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,222.33
1.4,1.2,24,0.02,0.25,24,0.15,2,39,51.28,1.905,0.076,0.066,1.22,3.69,38.88,21.49,9.47,74.36,0.1003,1.242,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,221.71
1.4,1.2,24,0.02,0.3,24,0.15,2,39,51.28,1.905,0.076,0.066,1.22,3.69,38.88,21.49,9.47,74.36,0.1003,1.242,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,221.71
1.25,0.8,24,0.02,0.3,20,0.15,3,46,47.83,1.848,0.085,0.079,1.05,3.61,35.76,22.41,7.85,65.22,0.0798,1.119,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,218.58
1.4,1.0,24,0.02,0.2,24,0.2,3,37,48.65,1.875,0.066,0.055,1.08,3.41,40.55,22.9,9.21,67.57,0.0942,1.231,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,218.45
1.25,0.8,24,0.02,0.3,20,0.2,3,45,48.89,1.848,0.084,0.075,1.05,3.61,35.76,22.41,8.02,66.67,0.0798,1.248,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,218.42
1.4,1.0,24,0.02,0.2,24,0.15,3,38,47.37,1.871,0.067,0.058,1.09,3.4,40.55,21.67,8.94,68.42,0.0899,1.23,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,217.83
1.25,0.8,24,0.02,0.2,24,0.15,3,38,44.74,2.006,0.069,0.058,1.05,3.4,39.9,21.13,8.95,60.53,0.0429,1.363,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,216.95
1.25,0.8,24,0.02,0.2,24,0.2,3,37,45.95,2.006,0.068,0.055,1.05,3.4,39.9,21.13,9.19,62.16,0.0429,1.359,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,216.93
